player1boxes,player2boxes,ballpositions,ballvelocities
"(716.0, 629.0, 852.0, 797.0)","(1095.8694053812571, 182.2569533844069, 1169.711582514626, 261.79071261467675)","(1140.0, 345.0)",180.0
"(719.0, 628.0, 851.0, 804.0)","(1095.8991042969103, 181.59055680100258, 1172.9711993154963, 261.09987068247096)","(1143.0, 345.0)",180.0
"(723.0, 632.0, 847.0, 809.0)","(1096.2473274511722, 182.00113961528615, 1175.5490498360368, 261.30347648454284)","(1146.0, 345.0)",180.0
"(724.0, 628.0, 850.0, 808.0)","(1097.52332301756, 182.11121924009464, 1179.8387090132228, 261.9390069510329)","(1149.0, 336.0)",569.2099788303083
"(733.0, 628.0, 851.0, 810.0)","(1098.580832541724, 181.9556272829366, 1182.610650521516, 262.3861249652538)","(1158.0, 315.0)",1370.8391590555034
"(739.0, 627.0, 848.0, 809.0)","(1099.5573093542955, 181.2347149428087, 1184.5939263704474, 262.67684183429935)","(1161.0, 309.0)",402.49223594996215
"(744.0, 627.0, 847.0, 807.0)","(1100.7148846921925, 179.68731362798394, 1186.127263298996, 262.1379241343397)","(1161.0, 300.0)",540.0
"(750.0, 626.0, 847.0, 807.0)","(1102.4221200391687, 178.88492504370097, 1186.0941084922863, 262.36980851250087)","(1167.0, 285.0)",969.3296652842107
"(757.0, 627.0, 843.0, 807.0)","(1102.9614162562207, 178.36570889465304, 1184.4866993162145, 262.90482795594676)","(1170.0, 273.0)",742.1590126111789
"(758.0, 628.0, 845.0, 803.0)","(1103.9680049541191, 177.57694544457496, 1183.317175807815, 263.2100564687968)","(1176.0, 267.0)",509.11688245431424
"(757.0, 629.0, 842.0, 805.0)","(1107.342281411366, 176.60287899629935, 1185.3513587126477, 263.6199825657656)","(1179.0, 261.0)",402.49223594996215
"(751.0, 630.0, 841.0, 804.0)","(1109.6923410463637, 176.3661678730333, 1187.1715281061356, 263.7098007470609)","(1185.0, 252.0)",648.9992295835181
"(743.0, 632.0, 837.0, 808.0)","(1109.3693320817747, 175.75826645694045, 1184.7311889595085, 264.05387003368287)","(1191.0, 246.0)",509.11688245431424
"(733.0, 633.0, 838.0, 812.0)","(1112.0188372176642, 176.63649911610204, 1185.3094514867687, 264.47498478424166)","(1191.0, 240.0)",360.0
"(729.0, 634.0, 836.0, 816.0)","(1113.8841528566109, 175.4184942167916, 1185.2513801015834, 263.4972144146729)","(1197.0, 228.0)",804.9844718999243
"(727.0, 634.0, 836.0, 816.0)","(1117.1276728508694, 173.77163307188042, 1186.2766092128616, 262.6985670941276)","(1197.0, 225.0)",180.0
"(725.0, 634.0, 835.0, 816.0)","(1120.6213257433647, 174.04210526197969, 1188.3097944277097, 263.302081683712)","(None, None)",379.4733192202055
"(725.0, 632.0, 834.0, 817.0)","(1123.012530560185, 172.82102166484032, 1188.5576354152304, 263.0504883991852)","(None, None)",379.4733192202055
"(724.0, 631.0, 833.0, 816.0)","(1125.677014812497, 171.53283733665978, 1187.9384732335948, 262.6213979317604)","(None, None)",379.4733192202055
"(723.0, 629.0, 832.0, 817.0)","(1132.388931540518, 171.14540497895868, 1193.9787685587773, 263.11213553182375)","(None, None)",379.4733192202055
"(723.0, 629.0, 829.0, 818.0)","(1137.769681735405, 170.09270994842046, 1200.0815777307616, 263.46529481605864)","(None, None)",379.4733192202055
"(722.0, 628.0, 827.0, 818.0)","(1140.4578964565162, 168.29891540078697, 1201.6653454217567, 262.18875302125343)","(None, None)",379.4733192202055
"(722.0, 630.0, 826.0, 817.0)","(1140.5167554433986, 168.92270907601568, 1199.388591433021, 262.2179860198075)","(None, None)",379.4733192202055
"(720.0, 630.0, 826.0, 818.0)","(1139.4786982593685, 167.52052441094037, 1194.913518702804, 258.66665866218517)","(None, None)",379.4733192202055
"(719.0, 631.0, 825.0, 819.0)","(1139.4786982593685, 167.52052441094037, 1194.913518702804, 258.66665866218517)","(None, None)",379.4733192202055
"(721.0, 632.0, 824.0, 815.0)","(1139.4786982593685, 167.52052441094037, 1194.913518702804, 258.66665866218517)","(None, None)",379.4733192202055
"(717.0, 632.0, 823.0, 819.0)","(1139.7828115327718, 163.03618379763213, 1183.7770073513263, 254.99314409019343)","(None, None)",379.4733192202055
"(715.0, 633.0, 822.0, 820.0)","(1141.2704239305715, 161.95588297194107, 1185.710499613244, 254.3123807700973)","(None, None)",379.4733192202055
"(711.0, 634.0, 820.0, 821.0)","(1140.699926342385, 160.82273909888593, 1186.5777462610636, 256.16791800521514)","(None, None)",379.4733192202055
"(710.0, 635.0, 820.0, 823.0)","(1139.3404169647067, 157.91611557061702, 1187.282777927653, 256.516217867187)","(None, None)",379.4733192202055
"(708.0, 637.0, 820.0, 824.0)","(1139.5686064177744, 156.921870926397, 1187.2857941658945, 255.16279426473488)","(1107.0, 255.0)",379.4733192202055
"(709.0, 641.0, 816.0, 826.0)","(1139.090210611036, 158.3810842329046, 1188.2528725801296, 258.99523075340403)","(1098.0, 267.0)",900.0
"(708.0, 643.0, 816.0, 828.0)","(1138.6100742288356, 160.99933851063977, 1188.2559076398722, 261.9733497460443)","(1095.0, 264.0)",254.55844122715712
"(707.0, 645.0, 816.0, 832.0)","(1138.2871435814288, 162.98177314503738, 1188.196932483954, 263.14400248974476)","(1083.0, 273.0)",900.0
"(704.0, 647.0, 816.0, 836.0)","(1139.297125980252, 165.75477396884298, 1187.6167651232004, 262.15956949420416)","(1074.0, 285.0)",900.0
"(703.0, 651.0, 814.0, 836.0)","(1141.7922708407957, 167.157844343073, 1188.9125697949028, 262.13374107745113)","(1068.0, 291.0)",509.11688245431424
"(702.0, 653.0, 814.0, 838.0)","(1144.0968346049465, 168.80908401185025, 1189.9351983340364, 263.5965842481719)","(1056.0, 300.0)",900.0
"(703.0, 654.0, 815.0, 836.0)","(1146.519393704735, 168.84506539549068, 1190.9016836009253, 263.2835705583417)","(1041.0, 303.0)",917.8235124467012
"(702.0, 655.0, 818.0, 837.0)","(1149.0738927037874, 168.372370181904, 1191.6681688157255, 261.91118538893846)","(1035.0, 318.0)",969.3296652842107
